0.691109 0.376755 -0.616785 0.76022	0.41443	-0.678464
0.714259 0.250337 -0.653594 0.785685	0.275371	-0.718953
-0.39429 0.700868 -0.594416 -0.433719	0.770954	-0.653857
-0.288028 0.778212 -0.558056 -0.316831	0.856033	-0.613862
-0.203493 0.819903 -0.53516 -0.223842	0.901892	-0.588675
-0.12914 0.845318 -0.518436 -0.142054	0.92985	-0.570279
-0.0611157 0.860649 -0.505523 -0.0672273	0.946714	-0.556076
0.00233817 0.868664 -0.4954 0.00257199	0.95553	-0.54494
0.062287 0.870931 -0.487443 0.0685157	0.958024	-0.536187
0.119457 0.868397 -0.481268 0.131402	0.955236	-0.529395
0.174251 0.861638 -0.476674 0.191676	0.947801	-0.524342
0.227046 0.851034 -0.473489 0.249751	0.936138	-0.520838
0.278123 0.836804 -0.471601 0.305936	0.920484	-0.518761
0.327617 0.819048 -0.470985 0.360379	0.900953	-0.518084
0.375701 0.797768 -0.47161 0.413271	0.877544	-0.518771
0.422505 0.772856 -0.473479 0.464756	0.850142	-0.520827
0.468047 0.74412 -0.476674 0.514852	0.818532	-0.524341
0.512387 0.711219 -0.481277 0.563625	0.782341	-0.529405
0.555536 0.673641 -0.487432 0.611089	0.741005	-0.536175
0.597382 0.630649 -0.495399 0.65712	0.693713	-0.544939
0.637804 0.581073 -0.505537 0.701584	0.63918	-0.55609
0.676491 0.52308 -0.518423 0.74414	0.575388	-0.570265
0.712805 0.453389 -0.535159 0.784084	0.498726	-0.588674
0.745265 0.364876 -0.558072 0.819792	0.401364	-0.61388
0.768881 0.235646 -0.594393 0.845769	0.25921	-0.653833
-0.458308 0.702506 -0.544479 -0.504138	0.772756	-0.598926
-0.34366 0.791778 -0.504961 -0.378026	0.870956	-0.555457
-0.255133 0.838909 -0.480811 -0.280646	0.922798	-0.528891
-0.17805 0.868169 -0.46324 -0.195855	0.954986	-0.509564
-0.107949 0.886669 -0.449633 -0.118744	0.975336	-0.494596
-0.0427339 0.897565 -0.438807 -0.0470073	0.987322	-0.482688
0.0187277 0.902558 -0.430162 0.0206004	0.992814	-0.473178
